127.0.0.1 - - [15/Apr/2018:00:29:13 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Apr/2018:00:30:22 +0800] "POST /springmvc/login.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:00:30:22 +0800] "POST /springmvc/login.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:00:30:23 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:00:30:23 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:00:30:50 +0800] "POST /springmvc/fileupload.do HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [15/Apr/2018:00:32:16 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:00:32:16 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:04:53 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:04:53 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:05:06 +0800] "POST /springmvc/fileupload.do HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:07:16 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:07:17 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:07:26 +0800] "POST /springmvc/fileupload.do HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:09:02 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:09:02 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:09:49 +0800] "POST /springmvc/updateuserinfo.do HTTP/1.1" 500 366
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:10:38 +0800] "POST /springmvc/updateuserinfo.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:13:23 +0800] "POST /springmvc/updateuserinfo.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:13:41 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:13:41 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:13:45 +0800] "POST /springmvc/updateuserinfo.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:17:50 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:17:50 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:17:55 +0800] "POST /springmvc/updateuserinfo.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:17:58 +0800] "POST /springmvc/updateuserinfo.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:18:12 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:18:12 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:18:15 +0800] "POST /springmvc/updateuserinfo.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:20:01 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [15/Apr/2018:01:20:01 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2989
