127.0.0.1 - - [16/May/2018:12:21:36 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:21 +0800] "POST /springmvc/province.do HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:48 +0800] "POST /springmvc/login.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:48 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:48 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:49 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:49 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:49 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:12:22:51 +0800] "POST /springmvc/packpoint.do HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [16/May/2018:12:23:13 +0800] "POST /springmvc/updatePackInfo.do HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [16/May/2018:12:23:23 +0800] "POST /springmvc/updatePackInfo.do HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [16/May/2018:12:27:16 +0800] "GET /springmvc/packstate.do?type=waitsign&page=1&limit=10 HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [16/May/2018:12:56:26 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/May/2018:12:56:27 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/May/2018:12:56:27 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:12:56:27 +0800] "GET /springmvc/queryAllInfo.do?page=1&limit=10 HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [16/May/2018:12:56:27 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:12:56:29 +0800] "GET /springmvc/packstate.do?type=waitsign&page=1&limit=10 HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [16/May/2018:12:56:31 +0800] "POST /springmvc/deletePack.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [16/May/2018:12:59:01 +0800] "POST /springmvc/selectUserInfo.do HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/May/2018:12:59:01 +0800] "POST /springmvc/packState.do HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/May/2018:12:59:01 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [16/May/2018:12:59:01 +0800] "GET /springmvc/packstate.do?type=wait&page=1&limit=10 HTTP/1.1" 200 1406
